name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
PAPAS PAY GOOD SHOW 63 G,papas-pay-good-show-63-g,Papas Pay Good Show 63 G,3200,2080,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
"MANAOS COLA 2,25L",manaos-cola-225l,"Manaos Cola 2,25L",4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
"MANAOS LIMA LIMON 2,250L",manaos-lima-limon-2250l,"Manaos Lima Limon 2,250L",4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS POMELO ROSADO 2.25,manaos-pomelo-rosado-225,Manaos Pomelo Rosado 2.25,4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
"MANAOS NARANJA 2,250L",manaos-naranja-2250l,"Manaos Naranja 2,250L",4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
"MANAOS MANZANA 2,25L",manaos-manzana-225l,"Manaos Manzana 2,25L",4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
"MANAOS POMELO BLANCO 2,25L",manaos-pomelo-blanco-225l,"Manaos Pomelo Blanco 2,25L",4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS COLA 3L,manaos-cola-3l,Manaos Cola 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS LIMA LIMON 3L,manaos-lima-limon-3l,Manaos Lima Limon 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS POMELO BLANCO 3L,manaos-pomelo-blanco-3l,Manaos Pomelo Blanco 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS MANZANA 3L,manaos-manzana-3l,Manaos Manzana 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS LIMON 3L,manaos-limon-3l,Manaos Limon 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS GUARANA 3L,manaos-guarana-3l,Manaos Guarana 3L,5000,3250,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
SIFON SODA MANAOS 2L,sifon-soda-manaos-2l,Sifon Soda Manaos 2L,4000,2600,100,5,bebidas,MEDIUM,2500,35,12,12,6,MOTO|CAR
MANAOS GRANANDINA 2.25L,manaos-granandina-225l,Manaos Granandina 2.25L,4000,2600,100,5,kiosco,MEDIUM,2500,35,12,12,6,MOTO|CAR
UNO MALBEC 750ml,uno-malbec-750ml,Uno Malbec 750Ml,14900,9685,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
AQUI MALBEC 750ml,aqui-malbec-750ml,Aqui Malbec 750Ml,6500,4225,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
