name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
SERRANITAS 105gr,serranitas-105gr,Serranitas 105Gr,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
SERRANITAS X3 315gr,serranitas-x3-315gr,Serranitas X3 315Gr,1800,1170,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER MOUSSE 40gr,cofler-mousse-40gr,Cofler Mousse 40Gr,1200,780,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER CHOCO-COOKIES 132gr,cofler-choco-cookies-132gr,Cofler Choco-Cookies 132Gr,3600,2340,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER CHOCO-COOKIES 105gr,cofler-choco-cookies-105gr,Cofler Choco-Cookies 105Gr,3600,2340,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER CHOCO-COOKIE CHOCOLATE  105gr,cofler-choco-cookie-chocolate-105gr,Cofler Choco-Cookie Chocolate  105Gr,3600,2340,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER RELLENAS CHOCO CREAMY 85gr,cofler-rellenas-choco-creamy-85gr,Cofler Rellenas Choco Creamy 85Gr,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER RELLENAS CHOCOLATE 85gr,cofler-rellenas-chocolate-85gr,Cofler Rellenas Chocolate 85Gr,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COFLER RELLENA BON O BON 85gr,cofler-rellena-bon-o-bon-85gr,Cofler Rellena Bon O Bon 85Gr,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TRAVIATA CRAC REX 96gr,traviata-crac-rex-96gr,Traviata Crac Rex 96Gr,1200,780,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TRAVIATA CRAC KESITAS 96gr,traviata-crac-kesitas-96gr,Traviata Crac Kesitas 96Gr,1200,780,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TRAVIATA 108gr,traviata-108gr,Traviata 108Gr,1000,650,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
