name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
YERBA CHOCOLATE DUBAI CBSE 250gr,yerba-chocolate-dubai-cbse-250gr,Yerba Chocolate Dubai Cbse 250Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PLUSBELLE ESCENCIA 120 GR,plusbelle-escencia-120-gr,Plusbelle Escencia 120 Gr,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CREMA P/BATIR LA SERENISIMA 200ml,crema-pbatir-la-serenisima-200ml,Crema P/Batir La Serenisima 200Ml,3200,2080,100,5,farmacia,MICRO,250,12,5,5,1,BIKE|MOTO
CREMA P/ COCINAR LA SERENISIMA 200ml,crema-p-cocinar-la-serenisima-200ml,Crema P/ Cocinar La Serenisima 200Ml,3000,1950,100,5,farmacia,MICRO,250,12,5,5,1,BIKE|MOTO
QUESO FINLANDIA CLASICO CLASICO 100gr,queso-finlandia-clasico-clasico-100gr,Queso Finlandia Clasico Clasico 100Gr,3800,2470,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
QUESO FINLANDIA LIGHT 180gr,queso-finlandia-light-180gr,Queso Finlandia Light 180Gr,3800,2470,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
LECHE DESCREMADA LA SERENISIMA 1L,leche-descremada-la-serenisima-1l,Leche Descremada La Serenisima 1L,2300,1495,100,5,supermercado,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
LECHE ENTERA LA SERENISIMA 1L,leche-entera-la-serenisima-1l,Leche Entera La Serenisima 1L,2300,1495,100,5,supermercado,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
DOS CORAZONES 26gr,dos-corazones-26gr,Dos Corazones 26Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ESCARBADIENTES IDEAL,escarbadientes-ideal,Escarbadientes Ideal,1100,715,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ILOLAY DULCE DE LECHE 400gr,ilolay-dulce-de-leche-400gr,Ilolay Dulce De Leche 400Gr,4500,2925,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
QUESO RALLADO ILOLAY 40gr,queso-rallado-ilolay-40gr,Queso Rallado Ilolay 40Gr,1500,975,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
MANTECA ILOLAY 100gr,manteca-ilolay-100gr,Manteca Ilolay 100Gr,3300,2145,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
LENGUETAZO TUTTI FRUTTI 13gr,lenguetazo-tutti-frutti-13gr,Lenguetazo Tutti Frutti 13Gr,500,325,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
LEVADURA SECA INSTANTANEA 10gr,levadura-seca-instantanea-10gr,Levadura Seca Instantanea 10Gr,700,455,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
ALFAJOR TITA 36gr,alfajor-tita-36gr,Alfajor Tita 36Gr,1100,715,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CUSENIER CAFE AL COÑAC,cusenier-cafe-al-conac,Cusenier Cafe Al Coñac,3000,1950,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
PASCUALINA CRIOLLA ALIJOR 390 GR,pascualina-criolla-alijor-390-gr,Pascualina Criolla Alijor 390 Gr,2300,1495,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COCA COLA LATA 354ml,coca-cola-lata-354ml,Coca Cola Lata 354Ml,1900,1235,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
FANTA LATA 354ml,fanta-lata-354ml,Fanta Lata 354Ml,1900,1235,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
SPRITE LATA 354 ml,sprite-lata-354-ml,Sprite Lata 354 Ml,1900,1235,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
COCA COLA 1.5L,coca-cola-15l,Coca Cola 1.5L,4900,3185,100,5,bebidas,SMALL,1650,34,10,10,3,BIKE|MOTO|CAR
"SPRITE 1,5L",sprite-15l,"Sprite 1,5L",4900,3185,100,5,bebidas,SMALL,1650,34,10,10,3,BIKE|MOTO|CAR
"FANTA NARANJA 1,5L",fanta-naranja-15l,"Fanta Naranja 1,5L",4900,3185,100,5,bebidas,SMALL,1650,34,10,10,3,BIKE|MOTO|CAR
CEPITA MULTIFRUTA 200ml,cepita-multifruta-200ml,Cepita Multifruta 200Ml,900,585,100,5,bebidas,MICRO,250,12,5,5,1,BIKE|MOTO
COCA COLA 500ml,coca-cola-500ml,Coca Cola 500Ml,2300,1495,100,5,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
SPRITE 500ml,sprite-500ml,Sprite 500Ml,2300,1495,100,5,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
FANTA NARANJA 500ml,fanta-naranja-500ml,Fanta Naranja 500Ml,2300,1495,100,5,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
COCA COLA 2.25L,coca-cola-225l,Coca Cola 2.25L,7200,4680,100,5,bebidas,MEDIUM,2500,35,12,12,6,MOTO|CAR
"SPRITE 2,25",sprite-225,"Sprite 2,25",7000,4550,100,5,bebidas,MEDIUM,2500,35,12,12,6,MOTO|CAR
"FANTA NARANJA 2,25L",fanta-naranja-225l,"Fanta Naranja 2,25L",7000,4550,100,5,bebidas,MEDIUM,2500,35,12,12,6,MOTO|CAR
FANTA POMELO 2.25L,fanta-pomelo-225l,Fanta Pomelo 2.25L,7000,4550,100,5,bebidas,MEDIUM,2500,35,12,12,6,MOTO|CAR
