name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
ICE BREAKERS MINTS COOLMINT,ice-breakers-mints-coolmint,Ice Breakers Mints Coolmint,7000,4550,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
ICE BREAKERS STRAWBERRY,ice-breakers-strawberry,Ice Breakers Strawberry,7000,4550,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
PILA ENERGIZER MAX C2 X2,pila-energizer-max-c2-x2,Pila Energizer Max C2 X2,18000,11700,100,5,kiosco,MEDIUM,1500,28,20,10,6,MOTO|CAR
ENERGIZER MAX D2,energizer-max-d2,Energizer Max D2,7000,4550,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
PILA ENERGIZER 9V1 X1,pila-energizer-9v1-x1,Pila Energizer 9V1 X1,12500,8125,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
MARUCHAN HOT &SPICY,maruchan-hot-spicy,Maruchan Hot &Spicy,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
MARUCHAN QUESO,maruchan-queso,Maruchan Queso,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
MARUCHAN POLLO PICANTE,maruchan-pollo-picante,Maruchan Pollo Picante,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
MARUCHAN CARNE RESS 64G,maruchan-carne-ress-64g,Maruchan Carne Ress 64G,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
MARUCHAN CON CAMARON,maruchan-con-camaron,Maruchan Con Camaron,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
RAMEN POLLO,ramen-pollo,Ramen Pollo,3200,2080,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
RAMEN CARNE DE RES,ramen-carne-de-res,Ramen Carne De Res,3200,2080,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
RAMEN CAMARON,ramen-camaron,Ramen Camaron,3200,2080,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
RAMEN CAMARON PICANTE,ramen-camaron-picante,Ramen Camaron Picante,3200,2080,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
RAMEN POLLO PICANTE,ramen-pollo-picante,Ramen Pollo Picante,3200,2080,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
LAPICERA BIC OPACO 1U,lapicera-bic-opaco-1u,Lapicera Bic Opaco 1U,1000,650,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
AFEITADORA BIC COMFORT,afeitadora-bic-comfort,Afeitadora Bic Comfort,2500,1625,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
AFEITADORA BIC SOLEIL,afeitadora-bic-soleil,Afeitadora Bic Soleil,3000,1950,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
ENC. BIC MAXI,enc-bic-maxi,Enc. Bic Maxi,2500,1625,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
ENC. BIC MINI,enc-bic-mini,Enc. Bic Mini,1800,1170,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
TOALLITAS DE LIMPIEZA INTERIOR ARMORALL 25U,toallitas-de-limpieza-interior-armorall-25u,Toallitas De Limpieza Interior Armorall 25U,16000,10400,100,5,farmacia,MEDIUM,1500,28,20,10,6,MOTO|CAR
