name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
PATAGONIA AMBER LAGER 730ml,patagonia-amber-lager-730ml,Patagonia Amber Lager 730Ml,6400,4160,100,5,bebidas,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
PATAGONIA 24.7 730ml,patagonia-247-730ml,Patagonia 24.7 730Ml,6400,4160,100,5,bebidas,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
ANDES IPA ANDINA 473ml,andes-ipa-andina-473ml,Andes Ipa Andina 473Ml,2900,1885,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
CORONA PORRON 330ml,corona-porron-330ml,Corona Porron 330Ml,3600,2340,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
BOTELLA CORONA 710ml,botella-corona-710ml,Botella Corona 710Ml,6200,4030,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
PATAGONIA VERA IPA 473ml,patagonia-vera-ipa-473ml,Patagonia Vera Ipa 473Ml,4500,2925,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
BRAHMA 473 CM3,brahma-473-cm3,Brahma 473 Cm3,2500,1625,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
BRAHMA PORRON 1L,brahma-porron-1l,Brahma Porron 1L,4700,3055,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
QUILMES SIN ALCOHOL 473ml,quilmes-sin-alcohol-473ml,Quilmes Sin Alcohol 473Ml,1700,1105,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
STELLA ARTOIS PORRON 330ml,stella-artois-porron-330ml,Stella Artois Porron 330Ml,3500,2275,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
STELLA ARTOIS 473ml,stella-artois-473ml,Stella Artois 473Ml,3400,2210,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
STELLA ARTOIS NOIRE 473ml,stella-artois-noire-473ml,Stella Artois Noire 473Ml,3500,2275,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
PATAGONIA VERA IPA 730ml,patagonia-vera-ipa-730ml,Patagonia Vera Ipa 730Ml,6400,4160,100,5,bebidas,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
BRAHMA DORADA 473cc,brahma-dorada-473cc,Brahma Dorada 473Cc,2400,1560,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
CORONA 473ML,corona-473ml,Corona 473Ml,4100,2665,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
QUILMES 473ML,quilmes-473ml,Quilmes 473Ml,2400,1560,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
BUDWEISER 710ml,budweiser-710ml,Budweiser 710Ml,3900,2535,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
QUILMES IPA 473ml,quilmes-ipa-473ml,Quilmes Ipa 473Ml,2400,1560,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
QUILMES 1890 473ml,quilmes-1890-473ml,Quilmes 1890 473Ml,1850,1202,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
STELLA ARTOIS 710ml,stella-artois-710ml,Stella Artois 710Ml,5000,3250,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
ANDES RUBIA 710ml,andes-rubia-710ml,Andes Rubia 710Ml,4200,2730,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
QUILMES 710ml,quilmes-710ml,Quilmes 710Ml,3500,2275,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
PATAGONIA LAGER DEL SUR 473ml,patagonia-lager-del-sur-473ml,Patagonia Lager Del Sur 473Ml,4500,2925,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
PATAGONIA LAGER DEL SUR 730ml,patagonia-lager-del-sur-730ml,Patagonia Lager Del Sur 730Ml,6400,4160,100,5,bebidas,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
BRAHMA 710ml,brahma-710ml,Brahma 710Ml,3600,2340,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
PORRON QUILMES 1L,porron-quilmes-1l,Porron Quilmes 1L,4600,2990,100,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
ANDES ROJA 473ml,andes-roja-473ml,Andes Roja 473Ml,2900,1885,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
ANDES RUBIA 473ml,andes-rubia-473ml,Andes Rubia 473Ml,2900,1885,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
GARAPIÑADAS DE MANI 80gr,garapinadas-de-mani-80gr,Garapiñadas De Mani 80Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TURRON DE MANI CON MIEL 120gr,turron-de-mani-con-miel-120gr,Turron De Mani Con Miel 120Gr,1400,910,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
TURRON DE ALMENDRAS 100gr,turron-de-almendras-100gr,Turron De Almendras 100Gr,3800,2470,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
TURRON MANI CON MIEL 80GR,turron-mani-con-miel-80gr,Turron Mani Con Miel 80Gr,1000,650,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
GARRAPIÑADA DE ALMENDRAS 80gr,garrapinada-de-almendras-80gr,Garrapiñada De Almendras 80Gr,3400,2210,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CHUPETONCITO,chupetoncito,Chupetoncito,1000,650,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
QUESO RALLADO LA QUESERA 100gr,queso-rallado-la-quesera-100gr,Queso Rallado La Quesera 100Gr,2300,1495,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
SAL FINA DOS ESTRELLAS 500gr,sal-fina-dos-estrellas-500gr,Sal Fina Dos Estrellas 500Gr,1200,780,100,5,supermercado,MICRO,540,23,7,7,1,BIKE|MOTO
VINAGRE DE ALCOHOL DOS ANCLAS,vinagre-de-alcohol-dos-anclas,Vinagre De Alcohol Dos Anclas,2500,1625,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
PARLIAMENT,parliament,Parliament,4000,2600,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
DULCOR MERMELADA ZAPALLO X500 GR,dulcor-mermelada-zapallo-x500-gr,Dulcor Mermelada Zapallo X500 Gr,2900,1885,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
DULCOR NARANJA X500GR,dulcor-naranja-x500gr,Dulcor Naranja X500Gr,2900,1885,100,5,kiosco,MICRO,540,23,7,7,1,BIKE|MOTO
DULCOR DAMASCO X500 GR,dulcor-damasco-x500-gr,Dulcor Damasco X500 Gr,2900,1885,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CORMILLOT SUCRALOSA,cormillot-sucralosa,Cormillot Sucralosa,5200,3380,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
CORMILLOT CLASICO,cormillot-clasico,Cormillot Clasico,4800,3120,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
OBLEA OBLITA VAINILLA,oblea-oblita-vainilla,Oblea Oblita Vainilla,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
OBLEA OBLITA FRUTILLA 50gr,oblea-oblita-frutilla-50gr,Oblea Oblita Frutilla 50Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
OBLEA OBLITA DDL 50gr,oblea-oblita-ddl-50gr,Oblea Oblita Ddl 50Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
OBLEA OBLITA CHOCOLATE 50gr,oblea-oblita-chocolate-50gr,Oblea Oblita Chocolate 50Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
IMPERIAL EXTRA LAGER 473ml,imperial-extra-lager-473ml,Imperial Extra Lager 473Ml,3100,2015,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
HEINEKEN X1L,heineken-x1l,Heineken X1L,8500,5525,100,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
IMPERIAL CREAM STOUT 473ml,imperial-cream-stout-473ml,Imperial Cream Stout 473Ml,3500,2275,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
HEINEKEN PORRON 330cm,heineken-porron-330cm,Heineken Porron 330Cm,4700,3055,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
HEINEKEN LATA 473cm,heineken-lata-473cm,Heineken Lata 473Cm,4800,3120,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
BUDWEISER 473ml,budweiser-473ml,Budweiser 473Ml,2600,1690,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
SCHNEIDER 473ml,schneider-473ml,Schneider 473Ml,2700,1755,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
MILLER 600ml,miller-600ml,Miller 600Ml,5200,3380,100,5,kiosco,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
SCHNEIDER 710ml,schneider-710ml,Schneider 710Ml,4300,2795,100,5,bebidas,MEDIUM,900,32,11,11,6,MOTO|CAR
IMPERIAL IPA  473ml,imperial-ipa-473ml,Imperial Ipa  473Ml,3500,2275,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
GROLSCH RUBIA LATA 473ml,grolsch-rubia-lata-473ml,Grolsch Rubia Lata 473Ml,3900,2535,100,5,supermercado,MICRO,400,13,7,7,1,BIKE|MOTO
WARSTIENER 473,warstiener-473,Warstiener 473,3600,2340,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
IMPERIAL APA 473ml,imperial-apa-473ml,Imperial Apa 473Ml,3500,2275,100,5,bebidas,MICRO,400,13,7,7,1,BIKE|MOTO
